,Date,Time,Username,Message,sentiment_label
0,2025-02-06,20:05:33,aahoy836,! 2025,neutral
1,2025-02-14,18:48:55,H. Marlan,! 38 pejabat kemenkeu anak buah sri mulyani dilaporkan kpk ?,neutral
2,2025-02-13,12:39:29,Joko Subiyanto,?,positive
3,2025-02-01,10:39:15,Surjanto,10 amanah hrs prabowo ! ! !,neutral
4,2025-02-16,08:39:04,Surjanto,152 1736 abi mbak endang tw cerita diambil hikmah manfaatnya,neutral
5,2025-02-10,23:45:27,aahoy836,160 lowongan kerja tamat smasmk s1 lamar,neutral
6,2025-02-01,13:47:45,Muhammad Thohir,1bersiap,neutral
7,2025-02-06,15:33:29,H. Marlan,1imad cs proyek strategis nasionalberhasil berhasilbuktinyaa bangun pagar laut 31km dasar laut cor semen cetakan orang orang tau,neutral
8,2025-02-05,21:06:19,Junaidi Kasim,2 kekuasaanya blm hilangayo wowo takluk wiwiskg sbg ri bp tunjukan macan asianya,neutral
9,2025-02-13,23:29:17,OM GENG,2 sidak cuekin,negative
10,2025-02-10,16:10:28,Dwi Sunarsitin,7 langkah hidup sehat nabi muhammad,positive
11,2025-02-01,11:03:06,Surjanto,70 menteri prabowo berani negara indonesia,neutral
12,2025-02-15,21:26:35,aahoy836,8 provinsi gelar pemutihan pajak kendaraan 31 desember 2025,neutral
13,2025-02-03,12:05:10,aahoy836,800000 posisi dibuka masyarakat indonesia wajib persyaratannya,neutral
14,2025-02-16,20:22:59,Kanu Ragan,aaa,positive
15,2025-02-07,05:32:26,Sri Rahayu,aamiin,positive
16,2025-02-02,07:57:17,Junaidi Kasim,aamiin 3x,positive
17,2025-02-14,00:07:47,Fitri Refa,aamiin allah,positive
18,2025-02-13,01:17:50,Sri Rahayu,aamiin smga jokowi cs hancur sehancur hancurnya berantakan aamiin allah allah robbal alamiin,negative
19,2025-02-13,23:50:27,Bang Yusuf || Muhibbin,aba idi santuni anak korban pengeroyokan ketapang ratusan yatim,neutral
20,2025-02-10,21:03:55,Satrio PAMBUKANING Projo,abdul kohar mantan kajari purworejo tertangkap kamera mengenakan jam berharga milyaran baju merk harga jutaan,neutral
21,2025-02-04,08:07:35,Affandy Ridwan,abuya h nurhadi husein lc ma,neutral
22,2025-02-05,21:18:06,Affandy Ridwan,abuya h nurhadi husein lc ma,neutral
23,2025-02-07,08:09:40,Affandy Ridwan,abuya h saidul amin ma,neutral
24,2025-02-07,13:31:55,Davip Maldian,adi,positive
25,2025-02-12,22:17:48,OM GENG,adu kepala niih,negative
26,2025-02-06,11:58:30,dadan,aduh ngapain bocorin susah manuver prabowo,negative
27,2025-02-03,22:39:33,____,aguan mulutku undangundang,negative
28,2025-02-03,08:00:39,Surjanto,ahmad khozinudin persekusi preman desa muncung pakuhaji berjuang penghancuran proyek pik pemulangan cinacina negeri asalnya bantubela ahmad khozinudin kejadian pemerintahan prabowo subianto mengambil kesimpulan sikap cepat keras dalan penyelesaian pemilik pemasang pagar laut perampasan tanahtanah rakyat pribumi asli indonesia pelanggaran pembuatan shgb shm lakukan bantuan aparatur pemerintahan propinsi banten pecat hukum pelakunya sesuai perundangundangan dibiyarkan kasihan rakyat pribumi asli indonesia adu domba oligarki china biadab gerombolan budakbudak penjilat pantatpantat cina perbuatan persekusi ahmad khosinudin orang mengkordinir membayar premanpreman muncung pakuhaji,negative
29,2025-02-08,09:17:14,OM GENG,akhirat kelak 3 surga neraka,negative
30,2025-02-10,05:16:07,Surjanto,akibat ummat islam digiring membenci politik penjajah berhasil menjajah indonesia wilayah g peduli politik ? ? ?,negative
